Fecha;Contagios;Contagios del día siguiente;Contagios a los 2 Días
2020-01-22;555;653;941
2020-01-23;653;941;1434
2020-01-24;941;1434;2118
2020-01-25;1434;2118;2927
2020-01-26;2118;2927;5578
2020-01-27;2927;5578;6166
2020-01-28;5578;6166;8234
2020-01-29;6166;8234;9927
2020-01-30;8234;9927;12039
2020-01-31;9927;12039;16788
2020-02-01;12039;16788;19882
2020-02-02;16788;19882;23893
2020-02-03;19882;23893;27636
2020-02-04;23893;27636;30818
2020-02-05;27636;30818;34392
2020-02-06;30818;34392;37121
2020-02-07;34392;37121;40151
2020-02-08;37121;40151;42763
2020-02-09;40151;42763;44803
2020-02-10;42763;44803;45222
2020-02-11;44803;45222;60369
2020-02-12;45222;60369;66886
2020-02-13;60369;66886;69031
2020-02-14;66886;69031;71225
2020-02-15;69031;71225;73259
2020-02-16;71225;73259;75137
2020-02-17;73259;75137;75640
2020-02-18;75137;75640;76198
2020-02-19;75640;76198;76824
2020-02-20;76198;76824;78580
2020-02-21;76824;78580;78966
2020-02-22;78580;78966;79569
2020-02-23;78966;79569;80414
2020-02-24;79569;80414;81396
2020-02-25;80414;81396;82755
2020-02-26;81396;82755;84121
2020-02-27;82755;84121;86012
2020-02-28;84121;86012;88370
2020-02-29;86012;88370;90307
2020-03-01;88370;90307;92840
2020-03-02;90307;92840;95120
2020-03-03;92840;95120;97882
2020-03-04;95120;97882;101785
2020-03-05;97882;101785;105820
2020-03-06;101785;105820;109806
2020-03-07;105820;109806;113565
2020-03-08;109806;113565;118592
2020-03-09;113565;118592;125865
2020-03-10;118592;125865;128343
2020-03-11;125865;128343;145193
2020-03-12;128343;145193;156094
2020-03-13;145193;156094;167446
2020-03-14;156094;167446;181527
2020-03-15;167446;181527;197142
2020-03-16;181527;197142;214910
2020-03-17;197142;214910;242708
2020-03-18;214910;242708;272166
2020-03-19;242708;272166;304524
2020-03-20;272166;304524;335955
2020-03-21;304524;335955;378283
2020-03-22;335955;378283;417962
2020-03-23;378283;417962;467594
2020-03-24;417962;467594;529591
2020-03-25;467594;529591;593291
2020-03-26;529591;593291;660706
2020-03-27;593291;660706;720117
2020-03-28;660706;720117;782365
2020-03-29;720117;782365;857487
2020-03-30;782365;857487;932605
2020-03-31;857487;932605;1013157
2020-04-01;932605;1013157;1095915
2020-04-02;1013157;1095915;1197403
2020-04-03;1095915;1197403;1272113
2020-04-04;1197403;1272113;1345046
2020-04-05;1272113;1345046;1426094
2020-04-06;1345046;1426094;1511099
2020-04-07;1426094;1511099;1595345
2020-04-08;1511099;1595345;1691714
2020-04-09;1595345;1691714;1771509
2020-04-10;1691714;1771509;1846675
2020-04-11;1771509;1846675;1917315
2020-04-12;1846675;1917315;1976187
2020-04-13;1917315;1976187;2056048
2020-04-14;1976187;2056048;2152640
2020-04-15;2056048;2152640;2240191
2020-04-16;2152640;2240191;2317759
2020-04-17;2240191;2317759;
2020-04-18;2317759;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
