Fecha;Contagios;Contagios del día siguiente;Contagios a los 2 Días
2020-03-06;1;1;6
2020-03-07;1;6;7
2020-03-08;6;7;11
2020-03-09;7;11;11
2020-03-10;11;11;15
2020-03-11;11;15;28
2020-03-12;15;28;38
2020-03-13;28;38;43
2020-03-14;38;43;86
2020-03-15;43;86;117
2020-03-16;86;117;145
2020-03-17;117;145;234
2020-03-18;145;234;234
2020-03-19;234;234;318
2020-03-20;234;318;363
2020-03-21;318;363;395
2020-03-22;363;395;416
2020-03-23;395;416;480
2020-03-24;416;480;580
2020-03-25;480;580;635
2020-03-26;580;635;671
2020-03-27;635;671;852
2020-03-28;671;852;950
2020-03-29;852;950;1065
2020-03-30;950;1065;1323
2020-03-31;1065;1323;1414
2020-04-01;1323;1414;1595
2020-04-02;1414;1595;1746
2020-04-03;1595;1746;2281
2020-04-04;1746;2281;2561
2020-04-05;2281;2561;2954
2020-04-06;2561;2954;4342
2020-04-07;2954;4342;5256
2020-04-08;4342;5256;5897
2020-04-09;5256;5897;6848
2020-04-10;5897;6848;7519
2020-04-11;6848;7519;9784
2020-04-12;7519;9784;10303
2020-04-13;9784;10303;11475
2020-04-14;10303;11475;12491
2020-04-15;11475;12491;13489
2020-04-16;12491;13489;14420
2020-04-17;13489;14420;15628
2020-04-18;14420;15628;16325
2020-04-19;15628;16325;17837
2020-04-20;16325;17837;19250
2020-04-21;17837;19250;20914
2020-04-22;19250;20914;21648
2020-04-23;20914;21648;25331
2020-04-24;21648;25331;27517
2020-04-25;25331;27517;28699
2020-04-26;27517;28699;31190
2020-04-27;28699;31190;33931
2020-04-28;31190;33931;36976
2020-04-29;33931;36976;40459
2020-04-30;36976;40459;42534
2020-05-01;40459;42534;45928
2020-05-02;42534;45928;47372
2020-05-03;45928;47372;51189
2020-05-04;47372;51189;54817
2020-05-05;51189;54817;58526
2020-05-06;54817;58526;61847
2020-05-07;58526;61847;65015
2020-05-08;61847;65015;67307
2020-05-09;65015;67307;68822
2020-05-10;67307;68822;72059
2020-05-11;68822;72059;76306
2020-05-12;72059;76306;80604
2020-05-13;76306;80604;84495
2020-05-14;80604;84495;88541
2020-05-15;84495;88541;92273
2020-05-16;88541;92273;94933
2020-05-17;92273;94933;99483
2020-05-18;94933;99483;104020
2020-05-19;99483;104020;108769
2020-05-20;104020;108769;111698
2020-05-21;108769;111698;115754
2020-05-22;111698;115754;119959
2020-05-23;115754;119959;123979
2020-05-24;119959;123979;129751
2020-05-25;123979;129751;135905
2020-05-26;129751;135905;
2020-05-27;135905;;
