Fecha;Contagios;Contagios del día siguiente;Contagios a los 2 Días
2020-01-22;1;1;2
2020-01-23;1;2;2
2020-01-24;2;2;5
2020-01-25;2;5;5
2020-01-26;5;5;5
2020-01-27;5;5;5
2020-01-28;5;5;5
2020-01-29;5;5;7
2020-01-30;5;7;9
2020-01-31;7;9;9
2020-02-01;9;9;12
2020-02-02;9;12;12
2020-02-03;12;12;12
2020-02-04;12;12;12
2020-02-05;12;12;12
2020-02-06;12;12;12
2020-02-07;12;12;12
2020-02-08;12;12;12
2020-02-09;12;12;13
2020-02-10;12;13;13
2020-02-11;13;13;14
2020-02-12;13;14;14
2020-02-13;14;14;14
2020-02-14;14;14;14
2020-02-15;14;14;14
2020-02-16;14;14;14
2020-02-17;14;14;14
2020-02-18;14;14;14
2020-02-19;14;14;16
2020-02-20;14;16;16
2020-02-21;16;16;16
2020-02-22;16;16;52
2020-02-23;16;52;52
2020-02-24;52;52;58
2020-02-25;52;58;59
2020-02-26;58;59;61
2020-02-27;59;61;69
2020-02-28;61;69;75
2020-02-29;69;75;99
2020-03-01;75;99;118
2020-03-02;99;118;149
2020-03-03;118;149;217
2020-03-04;149;217;263
2020-03-05;217;263;401
2020-03-06;263;401;529
2020-03-07;401;529;587
2020-03-08;529;587;959
2020-03-09;587;959;1281
2020-03-10;959;1281;1663
2020-03-11;1281;1663;2179
2020-03-12;1663;2179;2727
2020-03-13;2179;2727;3499
2020-03-14;2727;3499;4632
2020-03-15;3499;4632;6421
2020-03-16;4632;6421;7783
2020-03-17;6421;7783;13677
2020-03-18;7783;13677;19100
2020-03-19;13677;19100;25489
2020-03-20;19100;25489;33272
2020-03-21;25489;33272;43663
2020-03-22;33272;43663;53736
2020-03-23;43663;53736;65778
2020-03-24;53736;65778;83836
2020-03-25;65778;83836;101657
2020-03-26;83836;101657;121478
2020-03-27;101657;121478;140886
2020-03-28;121478;140886;161807
2020-03-29;140886;161807;188172
2020-03-30;161807;188172;213372
2020-03-31;188172;213372;243453
2020-04-01;213372;243453;275584
2020-04-02;243453;275584;308848
2020-04-03;275584;308848;337070
2020-04-04;308848;337070;366612
2020-04-05;337070;366612;396221
2020-04-06;366612;396221;429047
2020-04-07;396221;429047;461432
2020-04-08;429047;461432;496530
2020-04-09;461432;496530;526391
2020-04-10;496530;526391;555308
2020-04-11;526391;555308;580614
2020-04-12;555308;580614;607665
2020-04-13;580614;607665;636343
2020-04-14;607665;636343;667794
2020-04-15;636343;667794;699706
2020-04-16;667794;699706;732197
2020-04-17;699706;732197;759086
2020-04-18;732197;759086;784326
2020-04-19;759086;784326;817635
2020-04-20;784326;817635;839675
2020-04-21;817635;839675;869170
2020-04-22;839675;869170;905333
2020-04-23;869170;905333;938154
2020-04-24;905333;938154;965783
2020-04-25;938154;965783;988197
2020-04-26;965783;988197;1012582
2020-04-27;988197;1012582;1039909
2020-04-28;1012582;1039909;1069424
2020-04-29;1039909;1069424;1103461
2020-04-30;1069424;1103461;1132539
2020-05-01;1103461;1132539;1158040
2020-05-02;1132539;1158040;1180375
2020-05-03;1158040;1180375;1204351
2020-05-04;1180375;1204351;1228603
2020-05-05;1204351;1228603;1257023
2020-05-06;1228603;1257023;1283929
2020-05-07;1257023;1283929;1309550
2020-05-08;1283929;1309550;1329260
2020-05-09;1309550;1329260;1347881
2020-05-10;1329260;1347881;1369574
2020-05-11;1347881;1369574;1390406
2020-05-12;1369574;1390406;1417774
2020-05-13;1390406;1417774;1442824
2020-05-14;1417774;1442824;1467820
2020-05-15;1442824;1467820;1486757
2020-05-16;1467820;1486757;1508308
2020-05-17;1486757;1508308;1528568
2020-05-18;1508308;1528568;1551853
2020-05-19;1528568;1551853;1577147
2020-05-20;1551853;1577147;1600937
2020-05-21;1577147;1600937;1622612
2020-05-22;1600937;1622612;1643246
2020-05-23;1622612;1643246;1662302
2020-05-24;1643246;1662302;1680913
2020-05-25;1662302;1680913;1699176
2020-05-26;1680913;1699176;1721753
2020-05-27;1699176;1721753;1746019
2020-05-28;1721753;1746019;1770165
2020-05-29;1746019;1770165;1790172
2020-05-30;1770165;1790172;1845336
2020-05-31;1790172;1845336;1847729
2020-06-01;1845336;1847729;
2020-06-02;1847729;;
